"","Continent_Name","geo","country","lifeeexp_2021","Income per person","GDP total","growth_2021","date","people_fully_vaccinated_per_hundred","people_vaccinated_per_hundred","verficiation_vaccination_par_100","total_vaccinations_per_hundred","people_fully_vaccinated","total_boosters","total_vaccinations","population_2021"
"116","Africa","moz","Mozambique",60.79,1235,39712828055,1.99,2021-12-20,16.8,24.39,41.1969824374527,41.2,5404760,NA,13250204,32163045
"117","Asia","omn","Oman",77.99,26274,137237978324,4.43,2021-12-20,55.34,59.76,115.754829826534,115.75,2890827,32412,6046310,5223376
"118","Africa","nam","Namibia",67.94,8663,22415341938,0.43,2021-12-20,12.61,14.97,27.5803294807339,27.58,326185,NA,713598,2587344
"119","Oceania","nru","Nauru",NA,11395,123898752,-1.04,2021-12-20,66.69,70.01,136.696403936356,136.7,7251,NA,14863,10873
"120","Asia","npl","Nepal",72.11,3361,99737368107,2.87,2021-12-20,29.4,35.15,64.5576938370853,64.56,8725785,NA,19157444,29674920
"121","Europe","nld","Netherlands",82.08,56038,962349111579,2.7,2021-12-20,74.65,77.41,144.728847346902,144.73,12818905,NA,24854421,17173094
"122","Oceania","vut","Vanuatu",65.27,2802,881127477,1.89,2021-12-20,16.03,32.53,48.5623155591737,48.56,50403,NA,152711,314464
"123","Oceania","nzl","New Zealand",82.21,42920,208619758021,2.08,2021-12-20,74.34,77.43,165.144789515459,156.7,3808013,252872,8027097,4860642
"124","North America","nic","Nicaragua",79.7,5244,35147363510,1.64,2021-12-20,39.98,69.06,109.042878655474,109.04,2679570,NA,7308467,6702379
"125","Africa","ner","Niger",63.93,1229,30877172412,8.68,2021-12-20,1.85,2.02,3.86631389915407,3.87,464413,NA,971636,25130810
"126","Africa","nga","Nigeria",66,4916,1039200012005,-0.22,2021-12-20,1.96,4.17,6.13608599903244,6.14,4153915,NA,12971729,211400704
"127","Europe","nor","Norway",82.89,66160,361604669091,3.37,2021-12-20,71.39,78.16,172.925842569995,172.93,3901947,1277365,9451485,5465629
"128","Asia","pak","Pakistan",67.48,4569,1029010060700,2.06,2021-12-20,27.43,39.56,63.3720026616882,63.37,61761440,NA,142713705,225199929
"129","North America","pan","Panama",80,28130,123255319258,3.61,2021-12-20,56.05,68.94,130.661384253134,130.66,2455800,248483,5725037,4381583
"130","Oceania","png","Papua New Guinea",59.34,4156,37899828171,2.11,2021-12-20,2.41,3.11,5.52711617111735,5.53,220103,NA,504018,9119005
"131","South America","pry","Paraguay",76.6,12718,91816412732,2.6,2021-12-20,39.77,47.71,89.8903421929151,89.89,2871213,174286,6489760,7219641
"132","South America","per","Peru",81.23,12146,405187835766,4.12,2021-12-20,61.37,71.52,139.437012326595,139.44,20472834,2182463,46515373,33359416
"133","Asia","phl","Philippines",70.25,8371,929583556006,4.91,2021-12-20,39.81,50.53,91.5434738346164,91.54,44212255,1153103,101656199,111046910
