"","location","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred"
"32","World",2021-01-01,12061091,7421908,39543,3,0.15,0.09,0,0
"33","World",2021-01-02,13245238,8605020,42292,3,0.17,0.11,0,0
"34","World",2021-01-03,13610622,8968562,44613,5,0.17,0.11,0,0
"35","World",2021-01-04,14745432,10039424,89691,5,0.19,0.13,0,0
"36","World",2021-01-05,16863930,11243066,177673,5,0.21,0.14,0,0
"37","World",2021-01-06,18424398,12487460,352257,5,0.23,0.16,0,0
"38","World",2021-01-07,20208524,13921624,633813,5,0.26,0.18,0.01,0
"39","World",2021-01-08,22099469,15308353,997379,6,0.28,0.19,0.01,0
"40","World",2021-01-09,27527823,15979443,1127256,7,0.35,0.2,0.01,0
"41","World",2021-01-10,30732917,19484010,1843458,7,0.39,0.25,0.02,0
"42","World",2021-01-11,32598433,20883868,2205042,8,0.41,0.27,0.03,0
"43","World",2021-01-12,34778287,22561537,2572425,8,0.44,0.29,0.03,0
